Rank ▾,Percentile,Pilot Name,Games Played,W/L Ratio,Survive Rate,K/D Ratio,Average Score,Adjusted Score,Progress,Light,Medium,Heavy,Assault
Retired,,Muz0079,8274,1,33%,1.38,246,240.6,,2%,10%,38%,48%
Retired,,alphieus [DP-S],3317,1.16,37%,1.28,277,275.1,,28%,13%,18%,26%
Retired,,Indigo Bowra,8688,0.97,32%,1.15,252,252.6,,10%,21%,39%,28%
Retired,,Rist138,5225,0.95,28%,0.86,260,260,,4%,19%,56%,17%
Retired,,RamenFTW,10067,1.18,35%,1.11,258,264.1,,17%,30%,32%,19%
Retired,,D U N E [ISEN],8606,1.33,39%,1.67,295,318.5,,37%,26%,21%,13%
Retired,,Lief Kynes [2d20],3689,0.99,33%,1.08,266,262.2,,7%,75%,6%,4%
Retired,,Dajegas [(ME)],15157,1.19,33%,1.11,243,281.7,,9%,15%,31%,42%
Retired,,AlphariusCursor [228H],698,1.49,37%,1.38,264,258.8,,12%,2%,29%,47%
Retired,,Darling_In_The_MeXX [228H],2200,1.26,37%,1.64,275,283.1,,33%,19%,23%,15%
Retired,,wubbey [228H],2792,1.2,32%,1.08,268,269.2,,15%,15%,24%,32%
Retired,,Techpriest Warlord Von Shrizyl [228H],294,1.7,32%,1.88,339,298.9,,16%,4%,7%,40%
Retired,,HammerFell- [228H],3689,1.12,28%,1.13,290,287.3,,9%,16%,20%,46%
Retired,,vatek [SRoT],4502,1.2,36%,1.4,303,312.3,,18%,34%,33%,13%
Retired,,Private skittles [OP-4],3346,1.63,40%,1.73,340,343.6,,13%,8%,24%,50%
Retired,,Gadolinium64 [SRoT],13430,1.64,50%,2.91,364,421.2,,16%,25%,20%,37%
Retired,,CptJudas [-SA-],16348,1.68,51%,2.51,337,352.5,,15%,28%,35%,20%
Retired,,Neon30,2163,1.22,36%,1.45,278,289.9,,22%,25%,14%,30%
Not Found,,Colonel David Renard,,,,,,,,%,%,%,%
